"scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a1",2571.50556028715,4931.05913926054,3695.41315495827,259730641.978093,350571666.199516,304565779.287871,59446012630.3648,70182696154.3164,64745167766.2056,13459.4573640873,25921.4181131539,19270.4721751288,40580.6943079106,77816.5937631555,58316.9773764936,212402.466974013,409063.531000095,304105.560798662,67992314.6539511,91772687.4867843,79729261.5936834,61873006.3350955,83513145.6129737,72553628.0502519,11703177.1598113,15796373.8336628,13723399.1518128,2293316.37531816,5214377.83528918,3359812.21310021,145322.200893902,330423.168592025,212903.597014693,0.00000000146660817424852,0.0000000038124041290669,0.00000000241698866764063
"a2",1903.82385857538,3663.31327739694,2737.22853611296,279664208.551938,377477015.502435,327940311.423597,61350320006.2466,72753036737.2934,66978199862.5418,14131.938388284,27208.7792024456,20228.6567939741,30336.3780078419,58367.0396303598,43616.2493554344,222719.387116654,428814.793558826,318806.288819721,71329611.0625507,96277206.2977112,83642647.6834367,68502493.2134183,92461301.4535062,80327508.0283619,12277609.3041416,16571714.1339935,14396990.7325115,2254798.70117555,5148128.63871591,3311055.22945517,143069.50442891,326657.852642112,210090.585447694,0.00000000146783843567134,0.00000000381451388801007,0.00000000241846203512516
"a3",95.2705890012651,1243.56273423224,428.686341686286,257770369.956207,352916203.574782,305547135.436486,80776252882.8474,92021777959.6524,86422936191.2138,495.098357950917,6487.4865488137,2236.16122402168,1754.0579144574,21531.6953450196,7691.35957613539,9114.68151721812,112313.715472454,40120.8974887816,67479154.4387978,92386440.7263827,79986161.1090278,61406030.5393059,84071661.0610082,72787406.6092153,11614849.4577781,15902016.1100286,13767617.9808914,12451085.990709,185865649.687279,38647900.3673019,719202.036394733,10095994.8831803,2154062.88494366,0.0000000000535899374473393,0.000000000961406022758883,0.000000000279568514480099
"a4",88.2048381889502,1024.62396426711,375.533897135368,277551172.437255,379999037.294743,328994809.339083,82666003657.2056,94609117092.8954,88662984135.228,502.168217782937,6706.81172223822,2289.3136685726,1624.50854555858,17879.4283299141,6761.85265968875,9244.30695045342,115972.639236687,41050.4044052282,70790892.3317123,96920704.4557003,83911811.0425639,67984693.886915,93078814.1916709,80585593.6269776,12184882.342596,16682476.2544374,14443320.4757013,12325678.292579,188401244.329227,38729067.7343091,712806.091172017,10234311.5173447,2159856.53295868,0.000000000051812274849123,0.000000000947411665728326,0.000000000272823770590693
"a5",2571.50556028715,4931.05913926054,3695.41315495827,130068099.813871,175538390.530387,152505667.779136,44120935749.5175,49495160945.1225,46772877076.1919,13459.4573640873,25921.4181131539,19270.4721751288,40580.6943079106,77816.5937631555,58316.9773764936,212402.466974013,409063.531000095,304105.560798662,34049240.7889714,45952458.2540279,39922949.6804022,30984809.117964,41816737.0111654,36329884.209166,5860725.5708017,7909566.87697455,6871737.71373922,1702103.47122668,3677351.88769097,2427178.56890703,107858.394615743,233025.358180883,153804.74120024,0.00000000292899615722027,0.00000000761292102628906,0.00000000482691592915754
"a6",1903.82385857538,3663.31327739694,2737.22853611296,140050445.782086,189010448.225438,164210031.416828,45074576182.3751,50782182951.0417,47891026501.3182,14131.938388284,27208.7792024456,20228.6567939741,30336.3780078419,58367.0396303598,43616.2493554344,222719.387116654,428814.793558826,318806.288819721,35720494.5119673,48207962.7868261,41882505.2164529,34304728.3790758,46297261.3258929,40222510.4919612,6148390.11787236,8297795.59468244,7209026.21038196,1656618.83787582,3593433.6504851,2367484.25706567,105114.321752502,228009.710373545,150219.829974558,0.00000000293145313996671,0.00000000761713396586097,0.00000000482985835957769
"a7",95.2705890012651,1243.56273423224,428.686341686286,43673636.4035376,145506859.664797,79283674.4290919,55796046310.439,67963855430.5139,60246298491.0561,495.098357950917,6487.4865488137,2236.16122402168,1754.0579144574,21531.6953450196,7691.35957613539,9114.68151721812,112313.715472454,40120.8974887816,11432889.1108737,38090800.9593708,20754888.5940031,10403929.0908951,34662628.8730274,18886948.6205429,1967886.03820914,6556379.1151317,3572435.19924279,8600564.46986266,137273441.406266,26941840.2590421,496787.46781486,7456525.5299515,1501618.91338303,0.000000000129978458179183,0.00000000567440695514444,0.00000000107741422648146
"a8",88.2048381889502,1024.62396426711,375.533897135368,46134498.9259488,156116201.689877,84187691.1328789,56040925054.3432,69007489884.646,60744152184.7631,502.168217782937,6706.81172223822,2289.3136685726,1624.50854555858,17879.4283299141,6761.85265968875,9244.30695045342,115972.639236687,41050.4044052282,11850938.9609002,39881318.6592888,21596884.6952665,11216310.5020743,38176782.1856498,20496960.871173,2039842.86864494,6864571.97423009,3717363.77817274,8355822.0172671,137419070.823145,26533783.0366589,483225.400604791,7464863.53758096,1479745.52418847,0.000000000125915650400887,0.00000000565930829984528,0.00000000106002032278033
