"scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a1",1965.52013034475,3769.03559992877,2824.574466485,262927413.887937,354896831.678963,308321677.837909,61127814546.3473,72171474458.9445,66578744051.906,10287.6831383076,19812.9336740761,14729.3093845127,30281.4782232774,58067.0569993,43516.3643843671,158495.579928759,305244.861310853,226924.799438612,68829165.9392504,92904929.7588907,80712481.1094002,62634541.0047179,84543486.0805906,73448357.8095542,11847220.1872935,15991261.0347491,13892635.8109555,3085248.02797523,7015328.28030092,4520153.81806774,200258.29192943,455353.231247107,293395.628052178,1.1073344724555e-09,2.87856657911027e-09,1.82491099047595e-09
"a2",1495.59884937343,2875.63372945005,2148.03863515879,281567558.235593,380057114.789804,330180032.185318,62908557808.5852,74575104162.1265,68666931594.9735,10762.4950897918,20721.8878439004,15405.8452158389,23357.7994201732,44869.4204220566,33542.4286904339,165495.253544565,318645.410069566,236898.735132545,71949916.3858281,97117287.9514952,84372027.2920297,68833862.7319686,92911269.4434071,80717988.8006292,12384379.3579107,16716313.1886511,14522535.1976406,3035850.70445707,6929164.98822481,4457199.88958324,197424.961479442,450617.782473409,289857.738398453,1.10819559697415e-09,2.880043353043e-09,1.82594228327784e-09
"a3",285.20546711068,861.039427127992,519.06220661085,261046756.114324,357412855.637883,309436368.520974,83069520484.0033,94641664324.2706,88880390630.1828,1491.32659637567,4451.38799032398,2707.65245651237,5175.86001305335,14878.094356403,9186.84250381812,26991.8044593736,77878.4317413105,47922.8293592728,68336847.1503467,93563574.7743149,81004284.9531344,62186530.9068155,85142853.0446265,73713899.3073523,11762479.8157534,16104630.3080289,13942862.5475583,18661487.3079076,63461393.737814,32825627.3867092,1066656.30812824,3506311.12739125,1854656.57638565,1.5939179322433e-10,6.51389137185472e-10,3.34260398456563e-10
"a4",278.853093374758,758.415029822375,481.533391695584,279551541.47264,382747856.400377,331370579.393199,84837357432.8548,97062023265.7105,90975845016.0588,1502.19309585853,4550.32621914784,2745.18127142763,5026.48105738063,13119.7411071485,8556.20419895967,27071.6360508804,79320.6360434884,48553.4676641312,71434941.1832178,97805211.3402659,84676544.084079,68340829.5531021,93568716.8599227,81008745.6125207,12295739.2511614,16834722.0019433,14574950.1504721,18644236.335377,64613546.376498,33140195.8635492,1069549.63631837,3585377.07448805,1873724.97563685,1.53590291894813e-10,6.36988866201635e-10,3.24196186927731e-10
"a5",1965.52013034475,3769.03559992877,2824.574466485,141631627.349741,191158262.22918,166073839.341872,46791654781.7683,52818917666.1689,49766220013.3444,10287.6831383076,19812.9336740761,14729.3093845127,30281.4782232774,58067.0569993,43516.3643843671,158495.579928759,305244.861310853,226924.799438612,37076342.238152,50041429.9029267,43474827.052846,33739471.4367183,45537701.2116633,39562092.6180899,6381765.40774191,8613381.12204125,7483104.60647112,2361672.20622113,5134189.78365403,3378720.53021519,153292.194931062,333251.676102956,219307.101455904,2.05583316828961e-09,5.34382101309021e-09,3.38800873586188e-09
"a6",1495.59884937343,2875.63372945005,2148.03863515879,150962677.96637,203752089.376346,177015088.425718,47683075213.137,54022039939.2496,50811467047.012,10762.4950897918,20721.8878439004,15405.8452158389,23357.7994201732,44869.4204220566,33542.4286904339,165495.253544565,318645.410069566,236898.735132545,38638555.4826298,52149900.2538326,45306621.2346772,36842783.5005555,49726144.4343404,43200922.9781818,6650661.36244765,8976301.58119094,7798402.18001881,2301097.06086325,5019471.73852739,3298194.05135736,149643.063123762,326426.521499618,214486.02086703,2.06376139501836e-09,5.36300790365106e-09,3.40035182408337e-09
"a7",285.20546711068,861.039427127992,519.06220661085,69145715.8369426,146127344.856773,97773441.6719069,60797823752.8104,70094125225.0346,64392937138.4924,1491.32659637567,4451.38799032398,2707.65245651237,5175.86001305335,14878.094356403,9186.84250381812,26991.8044593736,77878.4317413105,47922.8293592728,18100972.7321839,38253231.6378988,25595141.7989285,16471885.1862874,34810440.7904879,23291579.037025,3115629.93152716,6584337.49567332,4405563.78214057,13658172.2116713,47001190.346489,23781832.4813498,780676.015084165,2596866.96124877,1343679.78684532,3.89856368343574e-10,2.45919821889423e-09,1.05787749791865e-09
"a8",278.853093374758,758.415029822375,481.533391695584,71860000.2507925,155180778.491813,102360597.30282,61072376778.6119,70992370752.4281,64858619167.3213,1502.19309585853,4550.32621914784,2745.18127142763,5026.48105738063,13119.7411071485,8556.20419895967,27071.6360508804,79320.6360434884,48553.4676641312,18565508.1961557,39778455.3046447,26382731.9133991,17364491.9292406,37811933.9412618,24797566.7380109,3195588.0982633,6846866.61931196,4541127.73059381,13421538.1133815,47259151.2690015,23626352.0527341,769943.104655997,2622389.37532257,1335818.4757468,3.77639876750853e-10,2.45095699566687e-09,1.04052199007997e-09
